Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,national_temperature_2m,national_apparent_temperature,national_relative_humidity_2m,national_precipitation,national_wind_speed_10m,national_rain,national_wind_direction_10m
01-04-2026,1,00:00 - 00:15,13584.80,8261.70,7209.00,7209.00,5999.73,23.8,25.870262,72.004715,0.0,7.172949,0.0,17.52567
01-04-2026,1,00:15 - 00:30,13903.10,8718.40,7503.40,7503.40,5999.20,23.8,25.870262,72.004715,0.0,7.172949,0.0,17.52567
01-04-2026,1,00:30 - 00:45,14120.80,8992.90,7907.80,7907.80,5999.62,23.8,25.870262,72.004715,0.0,7.172949,0.0,17.52567
01-04-2026,1,00:45 - 01:00,14408.30,9456.90,8224.50,8224.50,5999.14,23.8,25.870262,72.004715,0.0,7.172949,0.0,17.52567
01-04-2026,2,01:00 - 01:15,14603.80,10822.90,8413.20,8413.20,5998.35,23.6,25.338802,71.29431,0.0,8.350138,0.0,7.4313188
01-04-2026,2,01:15 - 01:30,14422.90,11139.60,8333.20,8333.20,5537.03,23.6,25.338802,71.29431,0.0,8.350138,0.0,7.4313188
01-04-2026,2,01:30 - 01:45,14507.20,11586.80,8494.40,8494.40,4999.89,23.6,25.338802,71.29431,0.0,8.350138,0.0,7.4313188
01-04-2026,2,01:45 - 02:00,14547.10,12290.20,8653.40,8653.40,4799.44,23.6,25.338802,71.29431,0.0,8.350138,0.0,7.4313188
01-04-2026,3,02:00 - 02:15,14571.60,13141.40,8709.00,8709.00,4759.34,23.35,25.006376,71.02464,0.0,7.9932976,0.0,7.7650824
01-04-2026,3,02:15 - 02:30,14983.90,13296.00,9167.00,9167.00,4778.26,23.35,25.006376,71.02464,0.0,7.9932976,0.0,7.7650824
01-04-2026,3,02:30 - 02:45,15259.20,13671.40,9415.10,9415.10,4769.47,23.35,25.006376,71.02464,0.0,7.9932976,0.0,7.7650824
01-04-2026,3,02:45 - 03:00,15499.30,14104.20,9722.50,9722.50,4759.90,23.35,25.006376,71.02464,0.0,7.9932976,0.0,7.7650824
01-04-2026,4,03:00 - 03:15,15476.80,14729.20,9564.80,9564.80,4550.55,23.55,24.989553,68.20946,0.0,8.12197,0.0,12.804273
01-04-2026,4,03:15 - 03:30,15748.40,14893.10,9832.30,9832.30,4565.07,23.55,24.989553,68.20946,0.0,8.12197,0.0,12.804273
01-04-2026,4,03:30 - 03:45,15775.10,15070.00,9862.00,9862.00,4550.27,23.55,24.989553,68.20946,0.0,8.12197,0.0,12.804273
01-04-2026,4,03:45 - 04:00,15756.90,15205.00,9860.00,9860.00,4505.51,23.55,24.989553,68.20946,0.0,8.12197,0.0,12.804273
01-04-2026,5,04:00 - 04:15,16106.60,15123.60,10161.00,10161.00,4572.82,23.3,24.576744,67.08874,0.0,7.771331,0.0,13.392516
01-04-2026,5,04:15 - 04:30,16288.70,14506.30,10309.10,10309.10,4999.27,23.3,24.576744,67.08874,0.0,7.771331,0.0,13.392516
01-04-2026,5,04:30 - 04:45,16414.10,14512.90,10433.70,10433.70,4999.44,23.3,24.576744,67.08874,0.0,7.771331,0.0,13.392516
01-04-2026,5,04:45 - 05:00,16553.00,13802.80,10435.40,10435.40,5499.08,23.3,24.576744,67.08874,0.0,7.771331,0.0,13.392516
01-04-2026,6,05:00 - 05:15,16191.50,13221.40,10471.80,10471.80,5998.54,23.6,25.055344,67.362465,0.0,7.5685663,0.0,25.346138
01-04-2026,6,05:15 - 05:30,16174.50,12651.60,10435.10,10435.10,6999.80,23.6,25.055344,67.362465,0.0,7.5685663,0.0,25.346138
01-04-2026,6,05:30 - 05:45,16336.10,12445.40,10390.48,10390.48,10000.00,23.6,25.055344,67.362465,0.0,7.5685663,0.0,25.346138
01-04-2026,6,05:45 - 06:00,16356.50,12603.30,10395.40,10395.40,9499.20,23.6,25.055344,67.362465,0.0,7.5685663,0.0,25.346138
01-04-2026,7,06:00 - 06:15,16403.70,12796.30,10403.50,10403.50,9499.18,22.6,24.349983,72.70149,0.0,6.297428,0.0,30.963696
01-04-2026,7,06:15 - 06:30,17034.10,13439.10,11075.63,11075.63,9499.61,22.6,24.349983,72.70149,0.0,6.297428,0.0,30.963696
01-04-2026,7,06:30 - 06:45,18249.20,15118.40,11680.90,11680.90,5500.32,22.6,24.349983,72.70149,0.0,6.297428,0.0,30.963696
01-04-2026,7,06:45 - 07:00,18823.00,15211.20,12330.00,12330.00,5998.87,22.6,24.349983,72.70149,0.0,6.297428,0.0,30.963696
01-04-2026,8,07:00 - 07:15,18410.60,16658.30,12282.90,12282.90,4999.61,24.15,25.45404,66.20898,0.0,9.346143,0.0,15.642312
01-04-2026,8,07:15 - 07:30,17922.40,17567.30,11903.50,11903.50,4565.84,24.15,25.45404,66.20898,0.0,9.346143,0.0,15.642312
01-04-2026,8,07:30 - 07:45,16767.40,17897.30,10899.90,10899.90,4033.23,24.15,25.45404,66.20898,0.0,9.346143,0.0,15.642312
01-04-2026,8,07:45 - 08:00,15604.20,18878.00,9730.70,9730.70,3724.76,24.15,25.45404,66.20898,0.0,9.346143,0.0,15.642312
01-04-2026,9,08:00 - 08:15,14117.70,21968.20,9488.80,9488.80,3159.49,26.05,27.403196,61.01507,0.0,10.514218,0.0,38.047092
01-04-2026,9,08:15 - 08:30,13923.80,24275.20,9335.80,9335.80,3049.55,26.05,27.403196,61.01507,0.0,10.514218,0.0,38.047092
01-04-2026,9,08:30 - 08:45,12671.90,27385.70,8182.90,8182.90,2678.00,26.05,27.403196,61.01507,0.0,10.514218,0.0,38.047092
01-04-2026,9,08:45 - 09:00,12535.30,30262.00,8204.30,8204.30,2666.37,26.05,27.403196,61.01507,0.0,10.514218,0.0,38.047092
01-04-2026,10,09:00 - 09:15,11960.00,32705.40,7964.60,7964.60,2155.92,27.75,29.000065,56.086235,0.0,11.983188,0.0,57.264786
01-04-2026,10,09:15 - 09:30,11584.90,32110.20,7850.96,7850.96,2135.55,27.75,29.000065,56.086235,0.0,11.983188,0.0,57.264786
01-04-2026,10,09:30 - 09:45,11255.80,33151.40,8114.11,8114.11,2090.86,27.75,29.000065,56.086235,0.0,11.983188,0.0,57.264786
01-04-2026,10,09:45 - 10:00,11261.10,35796.80,8574.55,8574.55,2030.91,27.75,29.000065,56.086235,0.0,11.983188,0.0,57.264786
01-04-2026,11,10:00 - 10:15,9567.40,36986.00,8358.95,8358.95,1920.54,29.4,30.085499,46.357933,0.0,14.168641,0.0,62.783974
01-04-2026,11,10:15 - 10:30,9244.70,38509.50,8221.30,8221.30,1810.08,29.4,30.085499,46.357933,0.0,14.168641,0.0,62.783974
01-04-2026,11,10:30 - 10:45,9044.00,40347.80,8337.70,8337.70,1740.29,29.4,30.085499,46.357933,0.0,14.168641,0.0,62.783974
01-04-2026,11,10:45 - 11:00,8560.00,41479.00,7906.87,7906.87,1459.90,29.4,30.085499,46.357933,0.0,14.168641,0.0,62.783974
01-04-2026,12,11:00 - 11:15,8748.30,42995.40,8131.90,8131.90,1439.90,30.5,30.644474,38.662067,0.0,17.026896,0.0,76.55138
01-04-2026,12,11:15 - 11:30,8548.90,43436.90,8025.10,8025.10,1114.86,30.5,30.644474,38.662067,0.0,17.026896,0.0,76.55138
01-04-2026,12,11:30 - 11:45,8711.30,43705.00,8094.90,8094.90,1449.63,30.5,30.644474,38.662067,0.0,17.026896,0.0,76.55138
01-04-2026,12,11:45 - 12:00,8763.40,43843.30,8147.00,8147.00,1449.62,30.5,30.644474,38.662067,0.0,17.026896,0.0,76.55138
01-04-2026,13,12:00 - 12:15,8793.90,44044.20,8252.81,8252.81,1000.90,30.4,30.54184,40.542297,0.0,20.5484,0.0,86.98728
01-04-2026,13,12:15 - 12:30,8912.40,44621.40,8384.66,8384.66,1000.38,30.4,30.54184,40.542297,0.0,20.5484,0.0,86.98728
01-04-2026,13,12:30 - 12:45,8903.40,44884.70,8385.60,8385.60,999.67,30.4,30.54184,40.542297,0.0,20.5484,0.0,86.98728
01-04-2026,13,12:45 - 13:00,8862.70,45557.20,8345.90,8345.90,983.99,30.4,30.54184,40.542297,0.0,20.5484,0.0,86.98728
01-04-2026,14,13:00 - 13:15,8686.30,47053.10,8169.50,8169.50,983.82,29.9,29.55729,42.531563,0.0,21.9718,0.0,88.12216
01-04-2026,14,13:15 - 13:30,8559.60,47038.70,8042.80,8042.80,983.74,29.9,29.55729,42.531563,0.0,21.9718,0.0,88.12216
01-04-2026,14,13:30 - 13:45,8571.20,47080.00,8053.40,8053.40,983.74,29.9,29.55729,42.531563,0.0,21.9718,0.0,88.12216
01-04-2026,14,13:45 - 14:00,8574.40,46366.30,8057.60,8057.60,983.78,29.9,29.55729,42.531563,0.0,21.9718,0.0,88.12216
01-04-2026,15,14:00 - 14:15,9344.20,44351.10,8616.25,8616.25,1540.10,28.9,28.122753,47.26508,0.0,20.957443,0.0,94.92702
01-04-2026,15,14:15 - 14:30,9624.50,42919.60,8580.80,8580.80,1545.39,28.9,28.122753,47.26508,0.0,20.957443,0.0,94.92702
01-04-2026,15,14:30 - 14:45,10410.40,41151.90,9121.32,9121.32,1780.70,28.9,28.122753,47.26508,0.0,20.957443,0.0,94.92702
01-04-2026,15,14:45 - 15:00,10773.50,39427.30,9124.22,9124.22,1945.77,28.9,28.122753,47.26508,0.0,20.957443,0.0,94.92702
01-04-2026,16,15:00 - 15:15,10974.80,36763.60,9029.50,9029.50,2133.76,27.85,27.598274,52.35477,0.0,19.245697,0.0,97.52373
01-04-2026,16,15:15 - 15:30,11426.70,35845.00,9116.80,9116.80,2184.38,27.85,27.598274,52.35477,0.0,19.245697,0.0,97.52373
01-04-2026,16,15:30 - 15:45,11881.50,33713.30,9181.60,9181.60,2589.62,27.85,27.598274,52.35477,0.0,19.245697,0.0,97.52373
01-04-2026,16,15:45 - 16:00,12443.40,32822.90,9665.10,9665.10,2739.09,27.85,27.598274,52.35477,0.0,19.245697,0.0,97.52373
01-04-2026,17,16:00 - 16:15,13950.10,31270.00,10261.60,10261.60,2766.35,27.0,27.784836,61.999165,0.0,18.057508,0.0,94.57384
01-04-2026,17,16:15 - 16:30,14074.00,29101.20,9850.40,9850.40,3019.28,27.0,27.784836,61.999165,0.0,18.057508,0.0,94.57384
01-04-2026,17,16:30 - 16:45,13382.60,25125.00,9113.30,9113.30,3159.12,27.0,27.784836,61.999165,0.0,18.057508,0.0,94.57384
01-04-2026,17,16:45 - 17:00,13161.50,23186.30,8650.00,8650.00,3299.38,27.0,27.784836,61.999165,0.0,18.057508,0.0,94.57384
01-04-2026,18,17:00 - 17:15,12608.50,19415.10,7258.49,7258.49,3370.03,26.2,27.110466,67.46242,0.0,19.201874,0.0,96.458725
01-04-2026,18,17:15 - 17:30,13178.70,17732.40,7392.00,7392.00,3500.80,26.2,27.110466,67.46242,0.0,19.201874,0.0,96.458725
01-04-2026,18,17:30 - 17:45,13213.50,15999.60,7135.00,7135.00,3699.67,26.2,27.110466,67.46242,0.0,19.201874,0.0,96.458725
01-04-2026,18,17:45 - 18:00,13893.80,14214.40,7485.00,7485.00,3903.24,26.2,27.110466,67.46242,0.0,19.201874,0.0,96.458725
01-04-2026,19,18:00 - 18:15,13014.10,13437.60,7484.50,7484.50,4151.67,25.65,26.936157,71.00372,0.0,17.654688,0.0,92.33726
01-04-2026,19,18:15 - 18:30,13759.90,12292.70,7604.50,7604.50,4999.34,25.65,26.936157,71.00372,0.0,17.654688,0.0,92.33726
01-04-2026,19,18:30 - 18:45,14420.30,10885.00,7474.70,7474.70,6999.40,25.65,26.936157,71.00372,0.0,17.654688,0.0,92.33726
01-04-2026,19,18:45 - 19:00,16056.50,9085.20,6845.50,6845.50,10000.00,25.65,26.936157,71.00372,0.0,17.654688,0.0,92.33726
01-04-2026,20,19:00 - 19:15,15705.70,7929.70,5730.38,5730.38,10000.00,25.2,27.954075,76.85584,0.0,10.587917,0.0,72.18102
01-04-2026,20,19:15 - 19:30,15296.70,7690.50,5491.19,5491.19,10000.00,25.2,27.954075,76.85584,0.0,10.587917,0.0,72.18102
01-04-2026,20,19:30 - 19:45,15395.40,7830.10,5630.80,5630.80,10000.00,25.2,27.954075,76.85584,0.0,10.587917,0.0,72.18102
01-04-2026,20,19:45 - 20:00,14387.80,8187.30,5987.99,5987.99,10000.00,25.2,27.954075,76.85584,0.0,10.587917,0.0,72.18102
01-04-2026,21,20:00 - 20:15,13262.60,9062.60,6755.40,6755.40,9499.70,24.5,27.711052,79.64348,0.0,7.10031,0.0,30.465475
01-04-2026,21,20:15 - 20:30,13165.60,9287.00,6724.40,6724.40,9499.10,24.5,27.711052,79.64348,0.0,7.10031,0.0,30.465475
01-04-2026,21,20:30 - 20:45,13424.40,8779.40,6680.10,6680.10,10000.00,24.5,27.711052,79.64348,0.0,7.10031,0.0,30.465475
01-04-2026,21,20:45 - 21:00,13495.40,8790.10,6690.79,6690.79,10000.00,24.5,27.711052,79.64348,0.0,7.10031,0.0,30.465475
01-04-2026,22,21:00 - 21:15,12989.70,8617.80,6403.60,6403.60,9499.53,23.5,26.853811,84.05503,0.0,5.771239,0.0,356.42374
01-04-2026,22,21:15 - 21:30,13199.30,8240.30,6141.00,6141.00,10000.00,23.5,26.853811,84.05503,0.0,5.771239,0.0,356.42374
01-04-2026,22,21:30 - 21:45,13354.90,8037.40,5938.07,5938.07,10000.00,23.5,26.853811,84.05503,0.0,5.771239,0.0,356.42374
01-04-2026,22,21:45 - 22:00,13296.60,7894.40,5795.10,5795.10,10000.00,23.5,26.853811,84.05503,0.0,5.771239,0.0,356.42374
01-04-2026,23,22:00 - 22:15,13712.00,6720.30,4621.00,4621.00,10000.00,22.85,25.655779,85.29193,0.0,8.12197,0.0,347.19574
01-04-2026,23,22:15 - 22:30,13705.00,6531.10,4484.50,4484.50,10000.00,22.85,25.655779,85.29193,0.0,8.12197,0.0,347.19574
01-04-2026,23,22:30 - 22:45,13299.50,6310.90,4264.30,4264.30,10000.00,22.85,25.655779,85.29193,0.0,8.12197,0.0,347.19574
01-04-2026,23,22:45 - 23:00,13160.30,6262.70,4268.80,4268.80,10000.00,22.85,25.655779,85.29193,0.0,8.12197,0.0,347.19574
01-04-2026,24,23:00 - 23:15,13211.00,5773.50,4320.90,4320.90,10000.00,22.25,25.024338,87.911835,0.0,7.9932976,0.0,352.23492
01-04-2026,24,23:15 - 23:30,12712.70,5955.60,4520.59,4520.59,10000.00,22.25,25.024338,87.911835,0.0,7.9932976,0.0,352.23492
01-04-2026,24,23:30 - 23:45,12511.20,5938.80,4951.40,4951.40,10000.00,22.25,25.024338,87.911835,0.0,7.9932976,0.0,352.23492
